classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,1)",1,0.616,0.5963,0.446,66.4,57,81,0.9859,0.8621,1.6629
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,2)",2,0.5296,0.5147,0.3539,63.7667,55,72,0.9888,0.8701,1.653
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,3)",3,0.4968,0.4809,0.3213,65.5,55,78,0.9886,0.8678,1.6863
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,4)",4,0.467,0.4476,0.2925,62.7667,50,78,0.9885,0.8621,1.7329
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,5)",5,0.4686,0.4521,0.2965,60.7333,48,70,0.9888,0.8828,1.8496
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,6)",6,0.4669,0.4442,0.2895,58.4,47,72,0.989,0.8908,1.8425
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,7)",7,0.4548,0.4322,0.2783,60.9,52,73,0.991,0.8839,1.7619
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,8)",8,0.4454,0.4187,0.2676,59.3667,39,76,0.9912,0.8966,1.8342
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,9)",9,0.4393,0.417,0.2661,59.4667,48,75,0.9886,0.8874,1.8476
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,10)",10,0.4478,0.4224,0.271,61.8,46,82,0.9887,0.8736,1.8406
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,12)",12,0.4291,0.4061,0.257,61.2667,50,74,0.9865,0.877,1.8576
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,14)",14,0.4214,0.3969,0.2498,58.9667,48,72,0.9869,0.8966,1.7646
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,16)",16,0.4103,0.389,0.2429,61.1,47,74,0.9877,0.8678,1.7347
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,18)",18,0.4193,0.3877,0.2419,60.1667,44,75,0.9868,0.8644,1.8961
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,20)",20,0.4284,0.4016,0.2535,58.9667,46,68,0.9873,0.8747,1.8304
"LR (LogisticRegression(C=0.118, max_iter=100000, penalty='l1', solver='liblinear'))",Breast,"trains-p-diff(260,1)",1,0.9396,0.8798,0.7886,58.4333,36,70,0.9538,0.923,0.7718
"LR (LogisticRegression(C=0.118, max_iter=100000, penalty='l1', solver='liblinear'))",Breast,"trains-p-diff(260,2)",2,0.9345,0.8852,0.7971,59.0667,44,69,0.9523,0.9253,0.7425
"LR (LogisticRegression(C=0.118, max_iter=100000, penalty='l1', solver='liblinear'))",Breast,"trains-p-diff(260,3)",3,0.9237,0.8527,0.7457,58.4333,39,72,0.9515,0.9207,0.7249
"LR (LogisticRegression(C=0.118, max_iter=100000, penalty='l1', solver='liblinear'))",Breast,"trains-p-diff(260,4)",4,0.8741,0.8241,0.7036,58.4667,34,68,0.9521,0.9276,0.7346
