classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,1)",1,0.7207,0.6799,0.5387,21.9333,15,26,1.0,1.0,0.699
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,2)",2,0.617,0.5823,0.4224,23.1333,18,28,1.0,0.9958,0.6988
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,3)",3,0.6152,0.5608,0.405,21.3333,16,29,1.0,0.9972,0.697
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,4)",4,0.4785,0.4423,0.2889,21.6667,15,30,1.0,0.9958,0.6998
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,5)",5,0.5083,0.4677,0.3097,22.0,17,29,1.0,0.9986,0.7162
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,6)",6,0.5197,0.4764,0.3206,21.2333,13,26,1.0,1.0,0.7094
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,7)",7,0.4822,0.4442,0.2902,21.1,15,29,1.0,0.9958,0.7125
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,8)",8,0.5163,0.4792,0.3202,22.1,15,27,1.0,0.9944,0.6986
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,9)",9,0.4577,0.4121,0.2629,21.2667,16,31,1.0,0.9889,0.7035
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,10)",10,0.4931,0.4544,0.3001,23.6667,19,33,1.0,0.9944,0.695
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,12)",12,0.4387,0.4078,0.2606,24.4,16,33,1.0,0.9931,0.6974
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,14)",14,0.447,0.408,0.2603,23.1333,14,31,1.0,0.9875,0.702
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,16)",16,0.4363,0.3919,0.2492,23.1333,17,34,1.0,0.9917,0.696
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,18)",18,0.4214,0.3744,0.235,22.8333,16,31,1.0,0.9889,0.6976
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,20)",20,0.5125,0.4529,0.2991,23.3333,14,32,1.0,0.9877,0.6979
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,1)",1,0.9498,0.9101,0.8368,21.3333,15,25,1.0,1.0,0.6343
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,2)",2,0.9542,0.9176,0.8491,21.0667,17,23,0.9998,0.9972,0.638
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,3)",3,0.9554,0.9065,0.8296,21.0333,14,25,1.0,0.9986,0.6346
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,4)",4,0.9653,0.9314,0.8726,21.4333,19,24,1.0,1.0,0.6424
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,5)",5,0.9559,0.8871,0.7975,20.1333,13,23,1.0,0.9972,0.6481
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,6)",6,0.9562,0.8932,0.8072,20.5333,12,24,1.0,0.9986,0.6379
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,7)",7,0.9561,0.9066,0.8297,20.8,14,23,1.0,0.9972,0.6472
