classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,1)",1,0.6164,0.5732,0.4255,20.8667,16,25,1.0,0.9857,0.5166
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,2)",2,0.6155,0.5483,0.3908,19.6,11,25,1.0,0.9889,0.5269
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,3)",3,0.5647,0.5167,0.3604,20.1333,14,27,1.0,0.9905,0.5292
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,4)",4,0.5212,0.475,0.3219,20.5667,14,26,1.0,0.9937,0.5298
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,5)",5,0.5227,0.4797,0.3256,21.6667,17,27,1.0,0.9889,0.5196
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,6)",6,0.4753,0.4336,0.2816,21.2333,15,26,1.0,0.9905,0.5271
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,7)",7,0.4807,0.44,0.2865,21.3,15,29,1.0,0.9873,0.5102
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,8)",8,0.4654,0.4249,0.2766,19.8333,13,26,1.0,0.9952,0.519
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,9)",9,0.4267,0.3923,0.2465,20.8519,12,26,1.0,0.9965,0.5203
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,10)",10,0.4053,0.3764,0.2357,19.6296,13,24,1.0,0.9965,0.5181
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,12)",12,0.4262,0.3799,0.2405,19.1905,15,26,1.0,0.9955,0.5231
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,14)",14,0.39,0.3533,0.2179,19.5556,14,25,1.0,0.9947,0.5193
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,16)",16,0.3951,0.3634,0.2262,20.6667,16,27,1.0,0.9868,0.5225
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,18)",18,0.3752,0.3451,0.2093,21.2,16,26,1.0,0.9905,0.5221
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,20)",20,0.3806,0.3476,0.2127,19.8667,14,24,1.0,0.9937,0.5191
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,1)",1,0.928,0.8287,0.7194,17.3333,12,24,0.9958,0.9698,0.4884
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,2)",2,0.9202,0.8178,0.699,20.3333,12,26,0.9958,0.9762,0.4968
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,3)",3,0.9391,0.832,0.7164,18.2,10,24,0.9988,0.9683,0.485
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,4)",4,0.9424,0.8062,0.6854,18.5333,12,27,0.9988,0.9683,0.4914
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,5)",5,0.9157,0.8318,0.7151,18.2667,11,24,0.9971,0.9667,0.4916
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,6)",6,0.9317,0.8279,0.7113,20.0,11,30,0.9983,0.981,0.4955
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,7)",7,0.8802,0.8006,0.6695,22.8333,16,29,0.9979,0.981,0.4763
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,8)",8,0.9158,0.8113,0.6834,20.5333,11,27,0.9988,0.9857,0.48
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,9)",9,0.9021,0.7999,0.6695,20.7778,12,26,0.9986,0.9965,0.4752
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,10)",10,0.8991,0.807,0.6796,19.8519,13,25,0.9986,0.9965,0.5003
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,12)",12,0.9189,0.7832,0.6457,21.1905,14,28,0.9976,0.9932,0.4775
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,14)",14,0.8941,0.7767,0.6386,18.8889,13,27,0.9993,0.9947,0.4879
