classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,1)",1,0.6162,0.572,0.4194,21.9667,15,31,0.9786,0.968,0.7765
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,2)",2,0.6074,0.5469,0.3806,20.1667,10,26,0.9807,0.9613,0.7845
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,3)",3,0.5294,0.4694,0.3131,17.0333,10,27,0.9769,0.992,0.8058
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,4)",4,0.4948,0.4419,0.2892,17.9,9,25,0.979,0.9867,0.8561
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,5)",5,0.5045,0.4464,0.2933,18.7333,10,28,0.9767,0.9893,0.8092
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,6)",6,0.4985,0.4514,0.2966,20.2,14,27,0.9774,0.9867,0.7949
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,7)",7,0.4738,0.4321,0.2793,20.3667,14,27,0.974,0.9853,0.7881
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,8)",8,0.4902,0.4385,0.2842,21.1667,15,28,0.9762,0.976,0.7929
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,9)",9,0.5122,0.4503,0.2957,20.0333,10,30,0.9762,0.9773,0.7734
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,10)",10,0.494,0.4315,0.2826,19.6333,13,28,0.9795,0.9733,0.7801
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,12)",12,0.4838,0.4309,0.2782,21.0333,14,31,0.9788,0.9707,0.8071
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,14)",14,0.4382,0.3871,0.2437,20.4667,12,27,0.9776,0.9733,0.8181
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,16)",16,0.383,0.3411,0.2079,18.2593,9,28,0.978,0.9689,0.8291
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,18)",18,0.4501,0.3777,0.2371,21.2083,12,33,0.9792,0.9633,0.7793
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,20)",20,0.3934,0.3397,0.204,21.2083,12,33,0.9771,0.9617,0.7642
