classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,1)",1,0.5605,0.5326,25.5333,20,34,0.9958,0.8536,0.4117
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,2)",2,0.4124,0.361,26.3333,15,41,0.9967,0.8435,0.4142
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,3)",3,0.3679,0.327,27.4,16,40,0.9963,0.842,0.4196
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,4)",4,0.3357,0.3075,25.8,15,38,0.9967,0.8522,0.4195
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,5)",5,0.3137,0.2796,25.7333,16,41,0.9938,0.8464,0.428
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,6)",6,0.3253,0.2831,27.4667,13,41,0.9954,0.8362,0.4317
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,7)",7,0.2778,0.2494,26.8667,15,39,0.9954,0.8522,0.4344
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,8)",8,0.2876,0.2528,25.3333,15,37,0.995,0.8594,0.4369
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,9)",9,0.3105,0.2629,27.1481,15,39,0.9963,0.8615,0.4435
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,10)",10,0.308,0.2606,26.3704,15,45,0.9977,0.847,0.4398
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,12)",12,0.2333,0.2048,23.1429,13,38,0.9923,0.8903,0.4363
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,14)",14,0.2477,0.2037,25.3889,12,41,0.9958,0.872,0.4339
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,16)",16,0.243,0.1963,23.8333,10,38,0.9944,0.8937,0.4322
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,18)",18,0.1946,0.1643,24.1333,14,38,0.9967,0.887,0.4286
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,20)",20,0.1967,0.1698,24.6,19,45,0.9958,0.8812,0.4337
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,1)",1,0.7599,0.6937,22.6333,15,30,0.8675,0.8246,0.4102
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,2)",2,0.7344,0.6874,23.1333,18,29,0.875,0.8058,0.4097
