classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,1)",1,0.5605,0.5326,0.388,25.5333,20,34,0.9958,0.8536,0.5628
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,2)",2,0.4124,0.361,0.2293,26.3333,15,41,0.9967,0.8435,0.5506
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,3)",3,0.3679,0.327,0.2012,27.4,16,40,0.9963,0.842,0.5443
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,4)",4,0.3357,0.3075,0.1857,25.8,15,38,0.9967,0.8522,0.5484
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,5)",5,0.3137,0.2796,0.1657,25.7333,16,41,0.9938,0.8464,0.5452
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,6)",6,0.3253,0.2831,0.1674,27.4667,13,41,0.9954,0.8362,0.5456
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,7)",7,0.2778,0.2494,0.1451,26.8667,15,39,0.9954,0.8522,0.5467
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,8)",8,0.2876,0.2528,0.1475,25.3333,15,37,0.995,0.8594,0.5508
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,9)",9,0.3105,0.2629,0.154,27.1481,15,39,0.9963,0.8615,0.5457
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,10)",10,0.308,0.2606,0.1509,26.3704,15,45,0.9977,0.847,0.5446
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,12)",12,0.2333,0.2048,0.1137,23.1429,13,38,0.9923,0.8903,0.5536
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,14)",14,0.2477,0.2037,0.1155,25.3889,12,41,0.9958,0.872,0.5509
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,16)",16,0.243,0.1963,0.1079,23.8333,10,38,0.9944,0.8937,0.5508
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,18)",18,0.1946,0.1643,0.0898,24.1333,14,38,0.9967,0.887,0.5517
"RF (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,20)",20,0.1967,0.1698,0.0934,24.6,19,45,0.9958,0.8812,0.5561
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,1)",1,0.7402,0.6815,0.5208,23.0,16,29,0.8671,0.8217,0.4219
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,2)",2,0.779,0.7037,0.5494,21.7,15,29,0.875,0.8043,0.4168
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,3)",3,0.7334,0.6833,0.5246,22.6,18,27,0.8779,0.8029,0.4152
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,4)",4,0.776,0.7164,0.5636,23.3333,19,32,0.8767,0.8058,0.4173
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,5)",5,0.7762,0.7027,0.5454,22.0333,14,27,0.8829,0.7826,0.4185
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,6)",6,0.7384,0.678,0.5167,22.0667,15,27,0.8867,0.7783,0.4154
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,7)",7,0.7435,0.6621,0.4986,22.9333,14,29,0.8854,0.771,0.4166
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,8)",8,0.7355,0.6877,0.5273,22.5667,16,28,0.8783,0.7957,0.4142
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,9)",9,0.766,0.6938,0.5355,22.6296,16,32,0.8769,0.7907,0.4208
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,10)",10,0.7637,0.6896,0.5313,22.7778,15,29,0.8801,0.7987,0.4175
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,12)",12,0.7613,0.691,0.5297,24.0,16,30,0.8667,0.8344,0.4163
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,14)",14,0.7518,0.6779,0.5159,23.3333,18,32,0.8764,0.814,0.418
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,16)",16,0.725,0.6544,0.4889,23.7222,18,30,0.8729,0.8357,0.4145
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,18)",18,0.7328,0.6865,0.5246,22.6,17,26,0.8717,0.8464,0.4219
"LR (LogisticRegression(C=0.035, max_iter=100000, penalty='l1', solver='liblinear'))",Throat,"trains-p-diff(80,20)",20,0.763,0.7066,0.5509,23.4667,19,28,0.87,0.8435,0.4232
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,1)",1,0.9304,0.9178,0.8642,24.3667,19,28,0.9967,0.8826,0.6284
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,2)",2,0.7433,0.7128,0.5689,24.4667,20,30,0.9971,0.8812,0.6124
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,3)",3,0.7356,0.7051,0.553,23.9333,20,29,0.9979,0.8884,0.644
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,4)",4,0.6837,0.6545,0.4984,24.5,20,29,0.9971,0.8812,0.6329
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,5)",5,0.6172,0.5837,0.4229,23.9333,18,30,0.9988,0.8696,0.5924
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,6)",6,0.5997,0.5623,0.3994,23.0667,18,30,0.9983,0.8667,0.6099
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,7)",7,0.5981,0.5644,0.4007,23.8,18,29,0.9979,0.8681,0.6681
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,8)",8,0.5939,0.553,0.3887,22.9333,18,30,0.9975,0.8928,0.6089
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,9)",9,0.5408,0.5107,0.3505,23.963,17,29,0.9981,0.8953,0.5865
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,10)",10,0.5583,0.5198,0.3616,23.6667,15,29,0.9968,0.8953,0.603
