classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,1)",1,0.9829,0.9342,0.8845,6.0,5,8,0.8199,0.8264,2.6188
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,2)",2,0.9702,0.9196,0.8644,5.5333,4,7,0.8177,0.8356,2.5883
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,3)",3,0.9671,0.8813,0.7998,5.6333,4,8,0.8188,0.8276,2.5099
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,4)",4,0.9456,0.8571,0.7637,5.7,4,8,0.8227,0.8207,2.407
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,5)",5,0.964,0.8755,0.7841,6.2667,4,8,0.8212,0.8379,2.6802
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,6)",6,0.9547,0.8987,0.8264,5.9333,4,8,0.8174,0.8575,2.6392
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,7)",7,0.9483,0.8894,0.8105,6.0,4,8,0.8192,0.8529,2.5239
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,8)",8,0.9558,0.8943,0.82,6.5,5,9,0.8176,0.8701,2.5867
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,9)",9,0.967,0.8955,0.8225,6.0667,5,9,0.816,0.8598,2.4732
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,10)",10,0.9606,0.8853,0.8104,5.8,4,8,0.8185,0.8506,2.4581
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,12)",12,0.9492,0.8536,0.7665,5.5667,4,8,0.8151,0.8483,2.6788
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,14)",14,0.9343,0.8353,0.7293,5.4667,3,9,0.8151,0.8483,2.4313
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,16)",16,0.9298,0.8508,0.7501,5.1333,3,6,0.8149,0.846,2.3663
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,18)",18,0.9156,0.8205,0.714,5.1667,4,8,0.814,0.8437,2.7213
1_CPL_C06 (GenetClassifier(C=0.6)),Breast,"trains-p-diff(260,20)",20,0.9278,0.8265,0.7203,5.1333,4,7,0.8129,0.8632,2.8087
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,1)",1,0.9586,0.9407,0.8926,14.4333,13,16,0.9982,1.0,3.7846
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,2)",2,0.9398,0.9066,0.8344,14.1333,11,16,0.998,0.9972,3.492
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,3)",3,0.9263,0.8746,0.7811,13.9,10,17,0.9982,1.0,3.2815
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,4)",4,0.9293,0.8819,0.7918,13.9333,10,16,0.9984,0.9972,3.3407
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,5)",5,0.9277,0.8623,0.7607,13.6667,8,17,0.998,0.9972,3.426
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,6)",6,0.92,0.8668,0.7696,13.5,10,16,0.998,1.0,3.419
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,7)",7,0.8832,0.8252,0.7078,13.4,10,17,0.9973,0.9986,3.4598
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,8)",8,0.8662,0.8208,0.7032,13.0667,10,15,0.9976,0.9972,3.2639
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,9)",9,0.8412,0.7831,0.6496,12.8,8,17,0.998,0.9958,3.3636
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,10)",10,0.8634,0.8074,0.6814,12.7667,10,15,0.9971,0.9972,3.1343
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,12)",12,0.8521,0.7942,0.6655,13.2333,9,15,0.9976,0.9958,3.2796
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,14)",14,0.7786,0.7442,0.6016,12.9667,11,16,0.9992,0.9917,3.1769
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,16)",16,0.808,0.749,0.6038,13.4667,10,17,0.9978,0.9944,3.3606
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,18)",18,0.8143,0.7592,0.6181,13.4667,9,17,0.9986,0.9931,3.0635
1_CPL_C06 (GenetClassifier(C=0.6)),Colorectal,"trains-p-diff(170,20)",20,0.7711,0.7231,0.572,12.7407,9,16,0.9987,0.9907,3.2189
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,1)",1,0.9404,0.8955,0.8217,9.7667,7,13,0.9958,0.9556,1.8303
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,2)",2,0.9442,0.8988,0.8368,9.5,7,13,0.9958,0.954,1.7158
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,3)",3,0.8822,0.8314,0.7281,10.3667,7,15,0.9963,0.9587,1.986
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,4)",4,0.8791,0.8281,0.7143,11.1333,8,17,0.9958,0.9667,2.1216
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,5)",5,0.847,0.7967,0.6729,10.9333,8,17,0.9963,0.9587,1.956
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,6)",6,0.7994,0.7262,0.5791,10.7,7,17,0.9958,0.9698,1.9718
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,7)",7,0.8239,0.7634,0.6234,10.9,8,16,0.9967,0.9746,2.0189
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,8)",8,0.789,0.7192,0.5725,11.1667,7,16,0.9958,0.9762,1.9755
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,9)",9,0.7037,0.6472,0.4879,11.8148,9,17,0.9949,0.9788,1.9999
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,10)",10,0.7464,0.6662,0.5043,11.6296,7,17,0.9949,0.9859,1.9981
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,12)",12,0.6798,0.6132,0.4487,12.381,7,15,0.9952,0.9796,1.9168
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,14)",14,0.7208,0.6546,0.4935,12.2222,8,15,0.9972,0.9894,2.0315
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,16)",16,0.6684,0.5924,0.4248,12.3889,9,16,0.9951,0.9868,1.8928
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,18)",18,0.6644,0.6016,0.4432,12.2,9,17,0.995,0.9841,2.1399
1_CPL_C06 (GenetClassifier(C=0.6)),Leukemia,"trains-p-diff(80,20)",20,0.6432,0.5818,0.4117,13.1333,9,17,0.9975,0.9873,2.1094
