classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,1)",1,0.5873,0.5237,0.378,12.6,8,20,0.9765,0.8598,1.6074
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,2)",2,0.5034,0.4443,0.2934,12.2667,6,17,0.9804,0.8747,1.6499
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,3)",3,0.4445,0.3941,0.2527,13.2333,9,18,0.9786,0.8759,1.6534
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,4)",4,0.4343,0.3748,0.2389,13.5,8,19,0.9782,0.8598,1.7599
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,5)",5,0.4031,0.3585,0.2242,13.0333,9,19,0.9808,0.8839,1.759
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,6)",6,0.4943,0.435,0.2848,11.8667,7,16,0.9805,0.8816,1.8436
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,7)",7,0.3837,0.3361,0.2046,12.3667,7,16,0.9828,0.8908,1.9248
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,8)",8,0.362,0.3112,0.1899,11.6667,6,16,0.979,0.8839,1.8591
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,9)",9,0.3525,0.3093,0.1902,11.8333,7,18,0.9809,0.8828,2.0472
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,10)",10,0.4019,0.3564,0.2245,12.8333,9,19,0.9813,0.8724,1.8846
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,12)",12,0.379,0.336,0.2074,12.6333,9,17,0.9794,0.8816,1.7392
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,14)",14,0.3773,0.3277,0.2012,11.6667,6,20,0.9782,0.8931,1.6376
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,16)",16,0.3972,0.3383,0.2062,12.6333,6,20,0.9783,0.8678,1.6155
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,18)",18,0.4135,0.3634,0.2271,12.6,8,19,0.9795,0.8701,1.6341
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,20)",20,0.3403,0.299,0.1791,12.6333,6,18,0.9788,0.8782,1.6295
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,1)",1,0.7,0.6933,0.5509,91.8,88,96,1.0,1.0,0.7056
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,2)",2,0.6309,0.6264,0.4643,92.4333,90,95,1.0,0.9958,0.7036
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,3)",3,0.6353,0.6288,0.4684,92.3,88,96,1.0,0.9986,0.6926
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,4)",4,0.5688,0.5634,0.397,92.9,87,98,1.0,0.9958,0.6934
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,5)",5,0.5573,0.5546,0.3881,93.3333,91,95,1.0,0.9986,0.6813
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,6)",6,0.5636,0.559,0.3914,91.5,88,95,1.0,1.0,0.681
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,7)",7,0.5457,0.5407,0.3738,91.9667,89,97,1.0,0.9972,0.6833
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,8)",8,0.5334,0.5289,0.3629,92.2333,90,99,1.0,0.9958,0.6784
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,9)",9,0.5264,0.5221,0.3556,93.0,91,97,1.0,0.9944,0.6806
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,10)",10,0.5278,0.524,0.3574,93.0,90,96,1.0,0.9944,0.6885
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,12)",12,0.5093,0.5063,0.3417,92.4,90,95,1.0,0.9944,0.6789
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,14)",14,0.4974,0.4941,0.3309,92.3667,89,96,1.0,0.9889,0.683
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,16)",16,0.5025,0.4981,0.3349,92.4667,88,95,1.0,0.9917,0.6909
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,18)",18,0.5069,0.5033,0.3389,92.1667,90,95,1.0,0.9903,0.6793
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,20)",20,0.5057,0.4992,0.3346,92.2222,87,96,1.0,0.9907,0.6773
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,1)",1,0.6716,0.6657,0.5184,90.8667,86,95,1.0,0.9984,0.4915
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,2)",2,0.559,0.5516,0.3894,91.2667,83,97,1.0,0.9984,0.4935
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,3)",3,0.5141,0.5067,0.3442,90.7667,87,97,1.0,0.9984,0.4911
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,4)",4,0.4941,0.4868,0.326,90.6333,85,95,1.0,0.9952,0.4916
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,5)",5,0.5005,0.4912,0.3284,91.1667,82,96,1.0,0.9937,0.4947
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,6)",6,0.4501,0.4421,0.2863,89.8333,81,95,1.0,0.9952,0.4934
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,7)",7,0.4504,0.4439,0.2881,89.9667,84,94,1.0,0.9937,0.4949
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,8)",8,0.4289,0.4217,0.2693,90.0333,83,95,1.0,0.9968,0.491
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,9)",9,0.4152,0.4091,0.2595,89.1481,85,95,1.0,0.9982,0.4965
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,10)",10,0.4027,0.3966,0.2494,90.8889,83,97,1.0,0.9947,0.4957
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,12)",12,0.402,0.396,0.2489,90.3333,84,94,1.0,0.9955,0.4944
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,14)",14,0.3989,0.3925,0.246,90.3333,88,95,1.0,0.9974,0.4953
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,16)",16,0.3841,0.3768,0.234,89.1667,81,94,1.0,0.9894,0.4976
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,18)",18,0.3892,0.3817,0.2375,91.2,84,96,1.0,0.9937,0.4934
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,20)",20,0.3686,0.3626,0.2231,90.2667,85,96,1.0,0.9937,0.4947
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,1)",1,0.7219,0.6966,0.5532,70.3333,61,82,0.9814,0.9693,0.746
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,2)",2,0.6519,0.6302,0.4681,69.8333,56,83,0.9857,0.9627,0.7304
