classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,1)",1,0.9274,0.9125,0.8439,66.8667,57,76,0.9791,0.9195,0.8256
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,2)",2,0.8974,0.8814,0.7958,69.0667,60,75,0.9799,0.923,0.8461
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,3)",3,0.8739,0.8593,0.7601,69.4667,62,78,0.9797,0.923,0.8653
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,4)",4,0.8421,0.8167,0.6952,69.8,59,79,0.9801,0.9172,0.8664
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,5)",5,0.8179,0.7951,0.6641,70.7,62,77,0.9799,0.9356,0.8619
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,6)",6,0.8059,0.7788,0.6426,70.7333,62,79,0.9792,0.9494,0.8522
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,7)",7,0.7922,0.7729,0.6348,70.8333,63,76,0.9792,0.9506,0.8266
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,8)",8,0.7736,0.7515,0.6056,70.6667,60,75,0.9794,0.9437,0.9074
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,9)",9,0.7562,0.7325,0.5827,69.6,58,76,0.9805,0.9391,0.857
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,10)",10,0.7504,0.7215,0.5683,68.6333,59,78,0.9795,0.9345,0.8026
"1_SVM_C005 (LinearSVC(C=0.05, dual=False, max_iter=100000, penalty='l1'))",Breast,"trains-p-diff(260,12)",12,0.7047,0.6849,0.5241,70.2,63,79,0.9804,0.9356,0.8752
